,Lyrics
494,"Esto es un sueño
Esto es un sueño
La noche nos recuerda
Esto es un sueño
La noche nos recuerda
La noche es nuestro cómplice
Te estábamos esperando
Esto es un sueño
Te estábamos esperando
Esto es un sueño
La noche nos recuerda
Te estábamos esperando
Esto es un sueño
Te estábamos esperando"
495,"This is your life


And this is your life and this is your love
And this is a time we’re gonna rise above
There’s no place like home
That place in your soul
That’s where we begun and where we all will go


Churn your heartstrings ’til the bell rings
Take it all in, everything you got to see
Shake it all out, break it all down
Scream it out from rooftops all around the world


And this is your life and this is your love
And this is a time we’re gonna rise above
There’s no place like home
That place in your soul
That’s where we begun and where we all will go
And this is your life
And this is your love


And this is your life and this is your love
And this is a time we’re gonna rise above
There’s no place like home
That place in your soul
That’s where we begun and where we all will go


Churn your heartstrings ’til the bell rings
Take it all in, everything you got to see
Shake it all out, break it all down
Scream it out from rooftops all around the world


And this is your life and this is your love
And this is a time we’re gonna rise above
There’s no place like home
That place in your soul
That’s where we begun and where we all will go


And this is your life"
496,"Dancing in the moonlight
Spinning down the hall
Don't care what we look like
We are who we are
You and I got something
Anger could never draw
Bound to make our escape
Like fireflies we glow


Born to enlighten lovers
Come here, we're face to face
We know why we came
Don't be alone, be alone, be alone, be—
Don't be alone, be alone, be alone


Driving in the desert
We're high above the law
Say goodbye you cruel world
Leave them at the door
I would like to watch you being what you are
Hard to tame a wild soul
Like fireflies we glow


Born to enlighten lovers
Come here, we're face to face
We know why we came
Don't be alone, be alone, be alone, be—
Don't be alone, be alone, be alone


Don't be alone, be alone, be alone
Come here, we're face to face
We know why we came
Love by the way
L-l-l-love by the way"
497,"Your eyes are dim
I need the real love
Won't make you drip
In two, alone in the, oh
And what got me high has left me so low, so low
You gave your space
And in your loving
I drink the song
I drink the world in
And what got me high has left me so low, so low


You can't kill the fire while it's burning 

You can't kill the light in the dark 

You can't kill the fire while it's burning 

You can't kill the light in the dark, in the dark


In the dark
You can't kill the light in the dark, in the dark


As you fade out
Our sunsets dying
So tell me who
And what you're fighting
What got me high has left me so low, so low
Those sleepless nights

 child
You lock me out in your denial
What got me high has left me so low, so low


You can't kill the fire while it's burning 

You can't kill the light in the dark 

You can't kill the fire while it's burning 

You can't kill the light in the dark, in the dark
You can't kill the fire while it's burning
You can't kill the light in the dark
You can't kill the fire while it's burning
Burning, burning, burning, burning
Burning, burning, burning, burning
Burning, burning, burning, burning
In the dark


You can't kill the fire while it's burning
You can't kill the light in the dark, in the dark
You can't kill the fire while it's burning
You can't kill the light in the dark, in the dark
In the dark
You can't kill the light in the dark, in the dark"
498,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so"
499,"Passion makes me paranoid
Jealousy can make you blind
Lookin' hard for something wrong
Where trouble searches trouble finds


I need you like oxygen
Tie you to me, breathe you in
Prove it to me once again


Show me you love me
You know I get scared
I'm not just broken
I'm beyond repair
Tell me you need me
You know I get scared
Make me forget that
I'm beyond repair


Show me you love
Show me you love
Show me you love
Show me you love


Show me you love me
You know I get scared
I'm not just broken
I'm beyond repair
Tell me you need me
You know I get scared
Make me forget that
I'm beyond repair




Show me you love me
You know I get scared
I'm not just broken
I'm beyond repair
Tell me you need me
You know I get scared
Make me forget that
I'm beyond repair


Show me you love
Show me you love
Show me you love me
You know I get scared
I'm not just broken
I'm beyond repair
Tell me you need me
You know I get scared
Make me forget that
I'm beyond repair


Show me you love"
500,"
 Babe


Yeah, this wrath is going out to those girls
That betrayed in bed
That would take advantage
And this is for you
But this is also
Fuck you to all those girls


Never gonna know me
Never gonna know me
But I am oh-so 


 




 



Never gonna know me 
"
501,"It's only for you, it's only for you
It's only for you, it's only for you
It's only for you, for you, for you, for you
It's only for you, for you, for you, for you


It's only for you 

It's only for you, for you, for you, for you
It's only for you 

It's only for you 



Tonight, tonight
Tonight, tonight
It's only for you, it's only for you
It's only for you, it's only for you


Tonight, tonight
Tonight
Tonight, tonight
Tonight


It's only for you 

It's only for you 

It's only for you 

It's only for you"
502,"Been so long, I can't remember
How it feels to fall in deep
Look how to fall when there's nothing left when we end
Can you please leave that to me?


The touch of your hand
Lying here tonight
Who's got the chance?
Baby


Make me feel something
Make me feel something
With you, I feel something again


Even if it doesn't last forever
I don't need promises from you
But you can save me from places cold as winter
Stay, that's all you have to do


Make me feel something
Make me feel somеthing


With the touch of your hand
Lying here tonight
Who's got thе chance?
Baby


Make me feel something
Make me feel something
You know there's nothing that feels like love can
So make me feel something, oh
With you, I feel something again"
503,"Feeling like I know the words
Of a song I haven't wrote
A song of love, a song of hope
A song that guides me down this road


A snowflake falls onto my cheek
As I wake up from this distant sleep
I stand all dazed as I look around
What is this place that I have found?





 
"
504,"This is all we got
Dreaming 'bout a revolution in our minds
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?




Lock me out of this life institution
I am angry and high on illusions
Yes, I hate, but hate's not a solution
Trying my best, but hey, I'm just a human, oh


We don't need to say we're sorry
We don't need to worship heaven's art
We don't need to say we're sorry
So where's the love?


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?


Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?


Lock me out of this life institution, no
Trying my best, but hey, I'm just a human, oh
We don't need to say we're sorry
We don't need to say we're sorry


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?"
505,"Down by the ocean, you woke up, I'm still asleep
All my memories got inspired by the rhythm, yeah
Oh, it's time to begin
Spread love I've made, time to dream


You won't know my name
Please come, girl, we'll stay
Together, we check up old roads
I want you, my dear
Get off all the way
Together, we pick up the stars 



Don't stop, my love, you've got to know ‘bout my dreams 

That magical word outside, it's time for our restless journey 



Turn on my way
Rise up and stay
Hey, hey, oh


You won't know my name
Please come, girl, we'll stay
Together, we check up old roads 

I want you, my dear
Get off all the way
Together, we pick up the stars 

True unknown, where we go
Doesn't mean you're right or wrong
We'll just have some fun


Yeah
Oh, oh, oh
I'm coming 

Yeah, yeah
Say oh, yeah
I'm coming to 
, yeah


You won't know my name
Please come, girl, we'll stay
Together, we check up old roads 

I want you, my dear
Get off all the way
Together, we pick up the stars 

True unknown, where we go
Doesn't mean you're right or wrong
We'll just have some fun


Some fun, some fun
Doesn't mean you're right or wrong
Some fun, some fun
Doesn't mean you're right or wrong
Some fun, some fun
Some fun, some fun"
506,"I know what's wrong with you
You should have told me before..."
507,"Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light
Shed a light on me
Shed a light




Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light
Shed a light on me
Shed a light




Shed a light
Shed a light on me
Shed a light
So, so, so"
508,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so"
509,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so

"
510,"Shed a light


Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light
Shed a light
Shed a light
Shed a light on me


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light
Shed a light
Shed a light
Shed a light on me"
511,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


So, so, so
So, so, so


You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so
So, so, so


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


If you love me, say so, If you love me, say so
If you love me, say so


You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light, shed a light on me
Shed a light, shed a light on me"
512,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so

"
513,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so"
514,"

And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so


Shed a light, shed a light on me
Shed a light, shed a light on me
Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so"
515,"Show me your heart, shed a light on me




If you love me, say so, If you love me, say so


Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




Show me your heart, shed a light on me




So, so, so
Shed a light"
516,"Why are you keeping me at a distance?
All that I'm asking for is forgiveness
Are you even listening? Am I talking to myself again?
I keep on staring up at the ceiling
Waiting for you to give me some kind of reason
Are you even listening? Am I talking to myself again?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




If you love me, say so, If you love me, say so
So, so, so


Why when I call, you never answer?
I'll try to talk, you keep on dancing
I can feel you on my skin, but am I only dancing with the wind?


And I know you don't owe me your love
And I know that you don't owe me nothing at all
Ain't no way I'm giving up on you


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so
If you love me, say something
You know I can't live without you, I'm on my knees
Where are you now? Shed a light on me
If you love me, say so, If you love me, say so
So, so, so




If you love me, say so, If you love me, say so
So, so, so


Don't leave me here in the dark when it's hard to see
Show me your heart, shed a light on me
If you love me, say so, If you love me, say so"
517,"Translated from Bantu-Kana language by - MAT VOLARE
___________________________________________________
💚 ALANE - means - LOVE SONG  💚
----------------------------------
Take me with Love helps me overcome obstacles
It wears my heart
And makes me wanna dance
Dance with the other 
, so that your steps/moves merge into each other
Take me in your arms
I'll follow you
Wherever you go
Listen to this song
It is for you
How can I seduce you?
What can I do?
How can I seduce you
So that you'll be mine
There is a Love
A feeling so strong
Coming to the World from up above
Where you and me and all nature belong
Here is a song
The heart in a music so fine
For everyone dancing all along
A sound of yoj that is so divine
Come on and dance in a love song
All together Forever
Come on and dance in a love song
All together Forever
Join the World in a love song
People are singing, everyone loving free
There is a Love
A feeling so strong
Coming to the World from up above
Where you and me and all nature belong
Come on and dance in a love song
All together Forever
Come on and dance in a love song
All together Forever
Join the World in a love song
People are singing, everyone loving free
We Belong the Planet
Here and every where
And Nature is the Home
Everybody share
We Belong the Planet
Here and every where
And Nature is the Home
Everybody share
Come on and dance in a love song
Come on and dance in a love song
All together Forever
Come on and dance in a love song
All together Forever
Join the World in a love song
People are singing, everyone loving free
Join the World in a love song
People are singing, everyone loving free
_____________________________________________
BANTU-KANA language
----------------
Son déri sang
Mini sondé
Bika mi sanga ga minitou
Mi pa mi tcho andou mi pao yé
Son déri sang  minimi so bébi sondé..é
Bika misanga ganimitou
Mi pa mi tcho andou mi pao yé
Alané mba yi woma… wé
Ho tou sondé  ho ma… yé
Alané mba yi woma… wé
Ho tou sondé ho ma… yé
We ya senga
Has wéhé
Wanna wéndé lambo
Hé hé hémentourek
Hé hi yé yé yé 

Son déri sang
Hou hou hou hou hou
Mini sondé
Bika mi sanga ga minitou
Mi pa mi tcho andou mi pao yé
Alané mba yi woma… wé
Ho tou sondé ho ma… yé
Alané mba yi woma… wé
Ho tou sondé ho ma… yé
We ya senga
Has wéhé
Wanna wéndé lambo
Hé hé hémentourek
Hé hi yé yé yé
Né ma ka ni kaso
Né ma pa ni kaso
Né ma pa sé pa
Né ma ka ni kaso
Né ma pané ka
Né ma pa ni kaso
Né ma pa sé pa
Né ma ka ni kaso
Né ma pané ka
Alané mba yi woma… wé
Ho tou sondé
Ho ma… yé
Alané mba yi woma… wé
Ho tou sondé
Ho ma… yé
Alané mba yi woma… wé
Ho tou sondé
Ho ma… yé
We ya senga
Has wéhé
Wanna wéndé lambo
Yé yé yein
We ya senga
Has wéhé
Wanna wéndé lambo
Hé hé hémentourek
Né
------------------------------------------------------
- Robin Schulz & Wes - Alane 
 - 3:23 min
Https://www.youtube.com/watch?v=smMVkTJeRKU
- Robin Schulz & Wes - Alane 
 - 2:55 min
Https://www.youtube.com/watch?v=EbvCbrRmQ9I
- ORIGINAL -Wes - Alane 
 - 3:15 min
Https://www.youtube.com/watch?v=3gl5OEZ8j_o
Read Full Lyrics at Lyricsgoo: https://www.lyricsgoo.com/alane-robin-schulz-wes/"
518,"Hearing whispers in the night
Voices filling up your mind
You're like a ghost of you
You've been drowning in the rain
Slowly saving up the pain
So deep inside of you


See the colors of the sky
Slowly turn from black and white
A rising hope, bright as gold
Now there's nothing left to lose
So we're breaking all the rules
And they don't know what we know


'Cause I can hear
The thunder from afar
A lightning in the dark
I can feel a fire come alive
So calm before the storm
So dark before the dawn
Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes


Oh, I can see the fire in your eyes 

Oh, I can see the fire in your eyes


Now you'll never be the same
Once you felt that burning flame
You're chasing stars alive
What was broken's left behind
Watch it crumble in the light
Nothing can stop you now


See the colors of the sky
Slowly turn from black and white 

A rising hope, bright as gold 

Now there's nothing left to lose
So we're breaking all the rules 

And they don't know what we know, whoa


'Cause I can hear
The thunder from afar
A lightning in the dark
I can feel a fire come alive
So calm before the storm
So dark before the dawn
Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes


Oh, I can see the fire in your eyes 
"
519,"See the colors of the sky
Slowly turn from black and white
A rising hope, bright as gold
Now there's nothing left to lose
So we're breaking all the rules
And they don't know what we know


'Cause I can hear
The thunder from afar
A lightning in the dark
I can feel a fire come alive
So calm before the storm
So dark before the dawn
Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes
Oh, I can see the fire in your eyes


Now you'll never be the same
Once you felt that burning flame
You're chasing stars alive
What was broken's left behind
Watch it crumble in the light
Nothing can stop you now


See the colors of the sky
Slowly turn from black and white 

A rising hope, bright as gold 

Now there's nothing left to lose
So we're breaking all the rules 

And they don't know what we know, whoa


'Cause I can hear
The thunder from afar
A lightning in the dark
I can feel a fire come alive
So calm before the storm
So dark before the dawn
Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes 

In your eyes 

Oh, I can see the fire in your eyes"
520,"Alane


Son déri sang
Mini sondé
Bika mi sanga ga minitou
Mi pa mi tcho andou mi pao yé


Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé


Ho ma... yé
Alané
Ho ma... yé


Son déri sang
Mini sondé
Bika mi sanga ga minitou
Mi pa mi tcho andou mi pao yé


Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé


Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Ho ma... yé
Ho ma... yé
Ho ma... yé
Ho ma... yé
Ho ma... yé
Ho ma... yé


Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Alané mba yi woma... wé
Ho tou sondé ho ma... yé
Ho ma... yé
Ho ma... yé


We ya senga
Has wéhé
Wanna wéndé lambo
Hé hé hémentourek
Hé hi yé yé yé 



Son déri sang
Hou hou hou hou hou
Mini sondé
Bika mi sanga ga minitou
Mi pa mi tcho andou mi pao yé"
521,"You can break my heart
But you can't break my spirit, baby
When we fall apart
I will pick up the pieces, watch me


Dancin'
Watch me dance the night into the mornin'
Darlin', hold me
Like it was forever, darlin', hold me


This is our last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time


Then we'll do it one more time
Then we'll do it one more time


You can shut the lights
But you can't take the sunshine from me
I'll be up all night
Makin' fire with every heartbeat


Dancin'
Watch me dance the night into the mornin'
Darlin', hold me
Like it was forever, darlin', hold me


This is our last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time
Last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time


Then we'll do it one more time
Then we'll do it one more time


One more time
One more time
Ah
Then we'll do it one more time"
522,"You can break my heart
But you can't break my spirit, baby
When we fall apart
I will pick up the pieces, watch me


Dancin'
Watch me dance the night into the mornin'
Darlin', hold me
Like it was forever, darlin', hold me


This is our last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time


Then we'll do it one more time


You can shut the lights
But you can't take the sunshine from me
I'll be up all night
Makin' fire with every hеartbeat


Dancin'
Watch me dance thе night into the mornin'
Darlin', hold me
Like it was forever, darlin', hold me


This is our last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time
Last song, last night, last sunset
Last kiss, goodbye ain't done yet
Last song, last night, last sunset now
Then we'll do it one more time


Then we'll do it one more time
Then we'll do it one more time"
523,"This is all we got
Dreaming 'bout a revolution in our minds
This is all we got


Lock me out of this life institution
I am angry and high on illusions
Yes, I hate, but hate's not a solution
Trying my best, but hey, I'm just a human, oh


We don't need to say we're sorry
We don't need to worship heaven's art
We don't need to say we're sorry
So where's the love?


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?


I can see in your eyes you're defеated
Try to fool yourself till you beliеve it
That you're better off numb and not feeling
But there's a sky if you jump through the ceiling, oh


We don't need to say we're sorry
We don't need to worship heaven's art
We don't need to say we're sorry
So where's the love?


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got? 

Then why not give it all we got? 

Then why not give it all we got?
This is all we got
Then why not give it all we got?
This is all we got
Then why not give it all we got?


This is all we got
Dreaming 'bout a revolution in our minds
This is all we got
Talking 'bout our resolutions getting high
We don't need a lot
And we don't care if we fuck it up
If it's what we got
Then why not give it all we got?
Then why not give it all we got?
Then why not give it all we got?"
524,"Passion makes me paranoid
Jealousy can make you blind
Looking hard for something wrong
Where trouble searches trouble finds


I need you like oxygen
Tie you to me, breathe you in
Prove it to me once again


Everything is triggering
Dealing with a damaged mind
Something 'bout your fingertips can calm me down
When you're around the lines


I, I, I need you like oxygen
Tie you to me, breathe you in
Prove it to me once again


Show me you love me, you know I get scared
I'm not just broken, I'm beyond repair
Tell me you need me, you know I get scared
Make me forget that I'm beyond repair


Show me you love me








I'm in pieces, I'm in pieces
Can you see it?
I'm in pieces, I'm in pieces
Darling, please stress


Show me you love me, you know I get scared
I'm not just broken, I'm beyond repair
Tell me you need me, you know I get scared
Make me forget that I'm beyond repair




Show me you love me






Show me you love me, you know I get scared
I'm not just broken, I'm beyond repair
Tell me you need me, you know I get scared
Make me forget that I'm beyond repair"
525,"Son déri sang
Mini sondé
Bika mi sanga ga minitou


Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma... yé


We ya senga
Has wéhé
Wanna wéndé lambo
We ya senga
Has wéhé
Wanna wéndé lambo


Né ma pa sé pa
Né ma ka ni kaso
Né ma pané ka
Né ma pa ni kaso
Né ma pa sé pa
Né ma ka ni kaso
Né ma pané ka
Né ma pa ni kaso


Son déri sang
Mini sondé
Bika mi sanga ga minitou


Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma... yé
Alané mba yi woma... wé
Ho tou sondé   ho ma


Né ma pa sé pa
Né ma ka ni kaso
Né ma pané ka
Né ma pa ni kaso"
526,"We can
We can
Let's set house on fire now
Let’s set house on fire now
Let's set house on fire now
We can
We can
Let's set house on fire now
Let’s set house on fire now
We can
Let's set house on fire now
Let's set house on fire now
We can
Let's set house on fire now
Let's set house on fire now
We can
Let's set house on fire now
We can
Let's set house on fire now"
527,"Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you
Into you"
528,"Same
Same
Same
Same
Same
Same
Same
Same
Same
Same"
